,Kmer2_Kmer_1,Kmer2_Kmer_2,Kmer2_Kmer_3,Kmer2_Kmer_4,Kmer2_Kmer_5,Kmer2_Kmer_6,Kmer2_Kmer_7,Kmer2_Kmer_8,Kmer2_Kmer_9,Kmer2_Kmer_10,Kmer2_Kmer_11,Kmer2_Kmer_12,Kmer2_Kmer_13,Kmer2_Kmer_14,Kmer2_Kmer_15,Kmer2_Kmer_16,Kmer3_Kmer_2,Kmer3_Kmer_3,Kmer3_Kmer_4,Kmer3_Kmer_5,Kmer3_Kmer_6,Kmer3_Kmer_7,Kmer3_Kmer_8,Kmer3_Kmer_9,Kmer3_Kmer_10,Kmer3_Kmer_11,Kmer3_Kmer_12,Kmer3_Kmer_13,Kmer3_Kmer_14,Kmer3_Kmer_15,Kmer3_Kmer_16,Kmer3_Kmer_17,Kmer3_Kmer_18,Kmer3_Kmer_19,Kmer3_Kmer_20,Kmer3_Kmer_21,Kmer3_Kmer_22,Kmer3_Kmer_23,Kmer3_Kmer_24,Kmer3_Kmer_25,Kmer3_Kmer_26,Kmer3_Kmer_28,Kmer3_Kmer_29,Kmer3_Kmer_30,Kmer3_Kmer_31,Kmer3_Kmer_32,Kmer3_Kmer_33,Kmer3_Kmer_34,Kmer3_Kmer_35,Kmer3_Kmer_36,Kmer3_Kmer_39,Kmer3_Kmer_40,Kmer3_Kmer_41,Kmer3_Kmer_44,Kmer3_Kmer_45,Kmer3_Kmer_46,Kmer3_Kmer_47,Kmer3_Kmer_48,Kmer3_Kmer_49,Kmer3_Kmer_50,Kmer3_Kmer_51,Kmer3_Kmer_52,Kmer3_Kmer_53,Kmer3_Kmer_54,Kmer3_Kmer_55,Kmer3_Kmer_56,Kmer3_Kmer_57,Kmer3_Kmer_58,Kmer3_Kmer_59,Kmer3_Kmer_60,Kmer3_Kmer_61,Kmer3_Kmer_62,Kmer3_Kmer_63,Kmer3_Kmer_64,MaxAbsEStateIndex,MinEStateIndex,SPS,MolWt,MaxPartialCharge,BCUT2D_MWHI,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,HallKierAlpha,Ipc,PEOE_VSA1,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA4,SlogP_VSA7,SlogP_VSA8,EState_VSA2,EState_VSA3,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState10,VSA_EState2,VSA_EState4,VSA_EState5,VSA_EState7,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAmideBonds,NumAromaticCarbocycles,NumAromaticRings,NumHeterocycles,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,MolLogP,fr_Al_COO,fr_ArN,fr_Ar_NH,fr_Ar_OH,fr_C_O,fr_Imine,fr_NH1,fr_alkyl_halide,fr_bicyclic,fr_ester,fr_imidazole,fr_ketone,fr_methoxy,Kd (нМ)
0,0.0,0.0,0.125,0.1,0.0,0.0,0.20000000000000004,0.0,0.0,0.2857142857142857,0.07142857142857142,0.125,0.25,0.0,0.14285714285714285,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.34569145329471684,0.9870051172013767,0.37260154261180134,0.10168389772797637,0.9140821778860009,0.8242692588956089,1.0000000000000002,0.4929846799555603,0.04012068039308381,0.4623655913978497,0.0005979552276511257,0.08479075383595139,0.0,1.0,0.0,1.0,0.4972678084766813,0.0,1.0,1.0,0.3978726504564075,0.11303871572385495,0.0,0.8490967692225304,0.0,0.9999999999999999,0.17417248347203784,0.0,0.6959173894929702,0.0,0.24553692479831699,0.0,0.0,0.5069367249844174,0.0,0.0,0.0,0.1591027340205623,0.18518226603297425,0.37766353635582683,1.0,0.1373124003958159,0.3474662306469351,0.12041525664853266,0.1293386359933021,0.9366537200787682,0.2652843951615882,0.8079915985708457,0.9280582568630317,0.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.0,0.0,0.8736849697581685,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.017236876469051973
1,0.0,0.0,0.375,0.0,0.125,0.08333333333333333,0.1,0.2,0.4,0.2857142857142857,0.0,0.5,0.0,0.1,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.5,0.0,0.2,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.329428295964886,1.0,0.3548387096774194,0.04358710456261994,0.9140821778852455,0.824269254931902,0.9999994745429162,0.4932535356118686,0.0,0.47670250896057376,0.00034943009109209656,0.0,0.0,1.0,0.0,1.0,0.4972678084766813,0.0,1.0,1.0,0.3978726504564075,0.11303871572385495,0.1524699330255931,0.8490967692225304,0.0,0.9999999999999999,0.0,0.0,0.6959173894929702,0.0,0.0,0.0,0.0,0.5069367249844174,0.0,0.0,0.0,0.5097526702716284,0.0,0.37766353635582683,0.0,1.0,0.3474662306469351,0.0,0.13303793061431066,0.9299588033666626,0.083906205148661,0.8392138427246982,0.9388896911338241,0.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.0,0.0,0.9296040226272784,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5003917471924785
2,0.25,0.0,0.25,0.0,0.0,0.08333333333333333,0.0,0.2,0.4,0.14285714285714285,0.14285714285714282,0.0,0.125,0.0,0.2857142857142857,0.1,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.25,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.25,0.0,0.0,0.6753666912111785,1.0,0.6243847892032439,0.0062920778810340305,0.019526141012579767,0.0010435279475373704,0.11645253644919251,0.04943621600914416,0.9856630824372761,0.044006029758925584,0.9213741439461327,0.34573528768703593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44359063717767416,0.3003587438596238,0.0,0.0,0.0,0.6966899338881514,0.29399983269197766,0.0,0.0,0.7544630752016831,0.0,0.0,0.0,0.0,0.0,0.0,0.20701632013903137,0.0,0.0,0.0,0.0,0.0,0.8795847433514672,0.0,0.0,0.8013998546341585,1.0,0.04609052772490241,0.3333333333333333,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0896126778703994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010681640114912513
3,1.0,0.25,0.5,0.30000000000000004,0.25,0.41666666666666663,0.30000000000000004,0.6000000000000001,0.4,0.2857142857142857,0.14285714285714282,0.5,0.5,0.5,0.42857142857142855,0.2,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.2857142857142857,1.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.5,0.4,0.25,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,0.0,0.25,0.0,0.25,0.25,0.0,0.009239900003748858,0.7849339241302277,0.97392568106691,0.558673311459172,0.0,0.019264656424356708,0.0,0.15419719376407326,0.029636251461207408,1.0000000000000002,0.02829766141316081,0.8551319650153648,0.34573528768703593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19666272606330437,0.44359063717767416,0.7337210022499092,0.0,0.0,0.0,0.8708624173601892,0.29399983269197766,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38964614215332977,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,1.0,1.0,0.35129693495257475,0.3333333333333333,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.1921979165593355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33925306868634114
4,0.5,0.5,0.25,0.30000000000000004,0.25,0.16666666666666666,1.0,0.6000000000000001,0.8,0.42857142857142855,0.4285714285714285,1.0,0.125,1.0,0.7142857142857142,0.6000000000000001,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.2,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.5,1.0,0.0,1.0,0.25,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.3333333333333333,0.5,0.0,1.0,0.25,0.5,0.2797070926206122,0.31732538951147293,0.8419582810897072,1.0,0.013643378937091555,0.02144887944884133,0.2518165440717748,0.15558128139483174,0.25904976741908525,0.3870967741935485,1.0000000000000002,1.0,1.0,0.0,0.0,0.0,0.24863390423834064,0.0,0.0,0.0,0.2312662179428075,0.0,0.445304578051221,0.523193367890656,0.0,0.5204018391995371,1.0,0.305242317564393,0.0,0.0,0.9821476991932678,0.0,0.0,0.0,0.0,0.0,0.0,0.017031159070044932,0.0,0.3166820802289944,0.0,0.0,1.0,0.8795847433514672,0.0,0.4923352982160893,0.6706207304129324,0.8930810761105852,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259728388613215
5,1.0,0.5,0.75,0.30000000000000004,0.5,0.08333333333333333,0.20000000000000004,1.0,0.4,0.7142857142857142,0.9999999999999999,0.75,0.625,0.4,0.8571428571428571,0.2,0.0,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.2,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.5,1.0,1.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.5,1.0,1.0,0.2,0.5,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.6666666666666666,0.5,0.0,0.25,0.25,0.0,0.6656542142130308,0.5078310725377786,0.4129116247817767,0.7908515446047177,0.10307035547074861,0.01792943339833608,0.4336513481284092,0.30350993467179743,0.015766899960730996,0.0,0.703856050010364,0.37040269713124496,0.4907473510903902,0.48950981782636804,0.0,0.0,0.7459017127150219,0.0,0.0,0.4,0.4132764031401889,1.0,1.0,0.4986065228197291,0.0,0.0,0.17417248347203784,0.15893679773844044,0.9999999999999999,1.0,0.22070235576715466,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7305990447718748,0.18166367417633647,0.0,0.0,0.41885804421653505,0.0,0.9899860823309387,0.1505080698528627,0.67144642462968,0.6852635603367291,0.6666666666666666,0.5,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.9469248127273289,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.02585531470357796
6,0.0,0.5,0.5,0.0,0.25,0.16666666666666666,0.30000000000000004,0.2,0.4,0.0,0.14285714285714282,0.75,0.125,0.4,0.42857142857142855,0.2,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.14285714285714285,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.75,0.25,0.6000000000000001,0.5,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.5,0.0,0.3333333333333333,0.25,0.0,0.25,0.25,0.0,0.0914768896464011,0.8418948842468938,0.0,0.0,0.5371416981011718,1.0,0.5067838575295351,0.0,1.0000000000000002,0.6953405017921149,0.0,0.0030555081115770932,0.1329143074140334,0.0,1.0,0.0,0.7731396788992985,0.0,0.0,0.7649349114097995,0.34535203638087963,0.28891135413256475,0.4172685335969867,1.0,0.0,0.5204018391995371,0.0,0.14769431286602505,0.7743967632652887,0.0,0.0,0.5643479259772323,0.0,1.0,0.8545521160585298,0.0,0.0,0.0,0.18518226603297425,0.5500117325595378,0.0,0.0,0.3474662306469351,0.5945172315804986,1.0,0.4978968760042486,0.061636876122487916,0.9218095368189625,0.8609220701487854,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.93457048356019,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.20000000000000004,1.0,1.0,0.42857142857142855,0.0,0.75,1.0,0.8,0.8571428571428571,1.0,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.25,0.5,0.2,0.25,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.3333333333333333,0.75,1.0,0.5,1.0,1.0,1.0,0.847099274386722,0.16097466878271627,0.14796400049526404,1.0000000000000002,0.1455445658319352,0.31999590038540116,1.0,0.29334830998805317,0.26523297491039455,0.00259679037346489,0.13142417688830213,0.3178863795687801,0.45950780580841727,0.0,1.0,0.24863390423834064,0.0,0.0,0.0,0.4170723896521292,0.7709520463286423,0.40237331800717485,0.6483310575577673,0.0,0.926621210527747,0.0,1.0,0.6565982008589224,0.3333333333333333,0.41747871045456875,1.0,0.3333333333333333,0.0,0.49149317306407664,0.0,1.0,0.5094495949075164,1.0,0.14046037071111794,0.11983067502681967,0.42715286914975475,0.32022209109572985,0.09948092918933413,0.0,0.7022735790656369,0.04917729342551759,0.8404825651489286,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.25,0.75,0.0,0.1,0.125,0.0,0.4,0.0,0.4,0.14285714285714285,0.0,0.875,0.125,0.0,1.0,0.30000000000000004,1.0,0.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.5,0.0,0.6795749677109044,0.0,0.5546943272920705,0.5312751501269113,0.4501182322548347,0.0003328211383420987,0.4112075617155424,0.4477598958528544,0.38166679235733914,0.03584229390680993,0.036199421305960905,0.31128627142709986,0.31287249944621603,0.48950981782636804,0.5094782958927248,0.0,0.9999999999999999,0.0,0.0,0.4,0.8033372739366956,0.0,0.9669257374402437,0.6676783783499666,0.0,0.47959816080046297,0.5337107361243418,0.315096009396736,0.8963076440401353,0.3333333333333333,0.017852300806732113,0.0,0.3333333333333333,0.0,0.9999999999999999,0.0,0.5282220053364081,0.15471820067520903,0.0,1.0,0.0,0.0,0.0,0.12041525664853266,0.0,0.9984579920636274,0.0,0.0,0.8277518529372305,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.6966337286581288,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.012287803604074173
9,0.25,1.0,0.375,0.2,0.5,1.0,0.8,0.6000000000000001,0.6000000000000001,1.0,0.3571428571428571,0.5,0.25,0.30000000000000004,0.7142857142857142,0.30000000000000004,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.2,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,0.25,0.2,0.5,0.3333333333333333,0.0,0.5,0.3333333333333333,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.5,1.0,0.0,0.0,0.25,0.5,0.0,0.6710686597680593,0.13804870585335238,0.5147042060868575,0.469371014672197,0.45011802362858155,0.0,0.41080209121085676,0.4973841196828157,0.3343199634301588,0.05017921146953408,0.024275755267997134,0.23576980504374032,0.31287249944621603,0.48950981782636804,0.5094782958927248,0.0,0.9999999999999999,0.0,0.0,0.4,0.9999999999999999,0.414550720274143,0.40858477917499975,0.6676783783499666,0.0,0.47959816080046297,0.5337107361243418,0.315096009396736,0.8963076440401353,0.3333333333333333,0.017852300806732113,0.0,0.3333333333333333,0.0,0.9999999999999999,0.0,0.5282220053364081,0.3373480226895073,0.0,1.0,0.0,0.0,0.0,0.12041525664853266,0.0,1.0,0.03890308181083958,0.18333408440701027,0.9173425343987084,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.802681064594904,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.004178636719770175
