,Kmer2_Kmer_1,Kmer2_Kmer_2,Kmer2_Kmer_3,Kmer2_Kmer_4,Kmer2_Kmer_5,Kmer2_Kmer_6,Kmer2_Kmer_7,Kmer2_Kmer_8,Kmer2_Kmer_9,Kmer2_Kmer_10,Kmer2_Kmer_11,Kmer2_Kmer_12,Kmer2_Kmer_13,Kmer2_Kmer_14,Kmer2_Kmer_15,Kmer2_Kmer_16,Kmer3_Kmer_2,Kmer3_Kmer_3,Kmer3_Kmer_4,Kmer3_Kmer_5,Kmer3_Kmer_6,Kmer3_Kmer_7,Kmer3_Kmer_8,Kmer3_Kmer_9,Kmer3_Kmer_10,Kmer3_Kmer_11,Kmer3_Kmer_12,Kmer3_Kmer_13,Kmer3_Kmer_14,Kmer3_Kmer_15,Kmer3_Kmer_16,Kmer3_Kmer_17,Kmer3_Kmer_18,Kmer3_Kmer_19,Kmer3_Kmer_20,Kmer3_Kmer_21,Kmer3_Kmer_22,Kmer3_Kmer_23,Kmer3_Kmer_24,Kmer3_Kmer_25,Kmer3_Kmer_26,Kmer3_Kmer_28,Kmer3_Kmer_29,Kmer3_Kmer_30,Kmer3_Kmer_31,Kmer3_Kmer_32,Kmer3_Kmer_33,Kmer3_Kmer_34,Kmer3_Kmer_35,Kmer3_Kmer_36,Kmer3_Kmer_39,Kmer3_Kmer_40,Kmer3_Kmer_41,Kmer3_Kmer_44,Kmer3_Kmer_45,Kmer3_Kmer_46,Kmer3_Kmer_47,Kmer3_Kmer_48,Kmer3_Kmer_49,Kmer3_Kmer_50,Kmer3_Kmer_51,Kmer3_Kmer_52,Kmer3_Kmer_53,Kmer3_Kmer_54,Kmer3_Kmer_55,Kmer3_Kmer_56,Kmer3_Kmer_57,Kmer3_Kmer_58,Kmer3_Kmer_59,Kmer3_Kmer_60,Kmer3_Kmer_61,Kmer3_Kmer_62,Kmer3_Kmer_63,Kmer3_Kmer_64,MaxAbsEStateIndex,MinEStateIndex,SPS,MolWt,MaxPartialCharge,BCUT2D_MWHI,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,HallKierAlpha,Ipc,PEOE_VSA1,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA4,SlogP_VSA7,SlogP_VSA8,EState_VSA2,EState_VSA3,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState10,VSA_EState2,VSA_EState4,VSA_EState5,VSA_EState7,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAmideBonds,NumAromaticCarbocycles,NumAromaticRings,NumHeterocycles,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,MolLogP,fr_Al_COO,fr_ArN,fr_Ar_NH,fr_Ar_OH,fr_C_O,fr_Imine,fr_NH1,fr_alkyl_halide,fr_bicyclic,fr_ester,fr_imidazole,fr_ketone,fr_methoxy,pKd
0,0.0,0.0,0.125,0.1,0.0,0.0,0.20000000000000004,0.0,0.0,0.2857142857142857,0.07142857142857142,0.125,0.25,0.0,0.14285714285714285,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.43321149617363863,0.9870051172013767,0.39752991827203726,0.3178809077531845,0.6482473094221864,0.8242692588956089,0.9999996967397418,0.4929846799555603,0.021391752119185536,0.486301369863014,4.954237497382376e-06,0.146626980585976,0.0,1.0,0.0,0.4948628262402668,0.4972678084766813,0.0,1.0,1.0,0.20477918137609352,0.11303871572385495,0.0,0.7145153679748419,0.0,0.9999999999999999,0.17417248347203784,0.0,0.6959173894929702,0.0,0.38545856121526656,0.0,0.0,0.5069367249844174,0.0,0.0,0.0,0.1591027340205623,0.18518226603297425,0.37766353635582683,0.9174463052249371,0.11730598201739657,0.2652167957363442,0.12041525664853266,0.1293386359933021,0.7032017937748142,0.32121359535386995,0.8079915985708457,0.9280582568630317,0.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.0,0.0,0.8427120395953007,1.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,13.4
1,0.0,0.0,0.375,0.0,0.125,0.08333333333333333,0.1,0.2,0.4,0.2857142857142857,0.0,0.5,0.0,0.1,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.5,0.0,0.2,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4191236920988137,1.0,0.38047285464098074,0.29224920535747806,0.6482473094216509,0.824269254931902,0.9999991712828176,0.4932535356118686,0.0,0.5000000000000003,3.1024570741108235e-06,0.06756512459768207,0.0,1.0,0.0,0.4948628262402668,0.4972678084766813,0.0,1.0,1.0,0.20477918137609352,0.11303871572385495,0.1524699330255931,0.7145153679748419,0.0,0.9999999999999999,0.0,0.0,0.6959173894929702,0.0,0.18545856121526658,0.0,0.0,0.5069367249844174,0.0,0.0,0.0,0.5097526702716284,0.0,0.37766353635582683,0.0,0.8542999880509776,0.2652167957363442,0.0,0.13303793061431066,0.698175520627968,0.15364256695959086,0.8392138427246982,0.9388896911338241,0.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.0,0.0,0.8966487109662282,1.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,383.4
2,0.25,0.0,0.25,0.0,0.0,0.08333333333333333,0.0,0.2,0.4,0.14285714285714285,0.14285714285714282,0.0,0.125,0.0,0.2857142857142857,0.1,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.25,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.25,0.0,0.13375958990543824,0.6753666912111785,0.9999999999999998,0.5484911180987302,0.004462205538771413,0.019526141012579767,0.001043527631076735,0.11645253644919251,0.02635865763533818,0.9863013698630139,0.0003283912295934891,0.9266865097070118,0.34573528768703593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06773765471481437,0.44359063717767416,0.3003587438596238,0.0,0.0,0.0,0.6966899338881514,0.29399983269197766,0.0,0.0,0.7999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.20701632013903137,0.0,0.0,0.0,0.0,0.0,0.8795847433514672,0.0,0.0,0.8165180135724396,1.0,0.04609052772490241,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.08643582659166482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.38
3,1.0,0.25,0.5,0.30000000000000004,0.25,0.41666666666666663,0.30000000000000004,0.6000000000000001,0.4,0.2857142857142857,0.14285714285714282,0.5,0.5,0.5,0.42857142857142855,0.2,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.2857142857142857,1.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.0,1.0,0.5,0.5,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.5,0.4,0.25,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,0.0,0.25,0.0,0.25,0.25,0.0,0.14176356467391837,0.7849339241302277,0.9749616900175131,0.519499895868542,0.0,0.019264656424356708,0.0,0.15419719376407326,0.015801610012308842,1.0000000000000002,0.00021134693625973712,0.8649199918493231,0.34573528768703593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13547530942962874,0.44359063717767416,0.7337210022499092,0.0,0.0,0.0,0.8708624173601892,0.29399983269197766,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.38964614215332977,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,1.0,1.0,0.35129693495257475,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.18538432487228995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0
4,0.5,0.5,0.25,0.30000000000000004,0.25,0.16666666666666666,1.0,0.6000000000000001,0.8,0.42857142857142855,0.4285714285714285,1.0,0.125,1.0,0.7142857142857142,0.6000000000000001,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.2,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.5,1.0,0.0,1.0,0.25,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.3333333333333333,0.5,0.0,1.0,0.25,0.5,0.3760531765234747,0.31732538951147293,0.8482377408056041,0.7142086521292323,0.009675589242808758,0.02144887944884133,0.25181646770582455,0.15558128139483174,0.13812149636717008,0.4143835616438357,0.0074515778149375185,1.0000000000000002,1.0,0.0,0.0,0.0,0.24863390423834064,0.0,0.0,0.0,0.14739398579388377,0.0,0.445304578051221,0.4402674881482395,0.0,0.5204018391995371,1.0,0.305242317564393,0.0,0.0,0.9854585612152664,0.0,0.0,0.0,0.0,0.0,0.0,0.017031159070044932,0.0,0.3166820802289944,0.0,0.0,0.7632879754747576,0.8795847433514672,0.0,0.36962546288194675,0.6956942676926724,0.8930810761105852,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,199.1
5,1.0,0.5,0.75,0.30000000000000004,0.5,0.08333333333333333,0.20000000000000004,1.0,0.4,0.7142857142857142,0.9999999999999999,0.75,0.625,0.4,0.8571428571428571,0.2,0.0,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.2,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.5,1.0,1.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.5,1.0,1.0,0.2,0.5,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.6666666666666666,0.5,0.0,0.25,0.25,0.0,0.7103761694065072,0.5078310725377786,0.43623836298276336,0.6219345235046896,0.07309526674026667,0.01792943339833608,0.43365121661918904,0.30350993467179743,0.008406677362981396,0.044520547945205546,0.005244985851428569,0.41294151734593704,0.4907473510903902,0.48950981782636804,0.0,0.0,0.7459017127150219,0.0,0.0,0.4,0.21008478300937156,1.0,1.0,0.4195776453765147,0.0,0.0,0.17417248347203784,0.15893679773844044,0.9999999999999999,1.0,0.3652297756250248,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7305990447718748,0.16666666666666669,0.0,0.0,0.41885804421653505,0.0,0.7432415779533478,0.2151744576497796,0.67144642462968,0.6852635603367291,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.9133554632371937,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,20.0
6,0.0,0.5,0.5,0.0,0.25,0.16666666666666666,0.30000000000000004,0.2,0.4,0.0,0.14285714285714282,0.75,0.125,0.4,0.42857142857142855,0.2,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.14285714285714285,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.75,0.25,0.6000000000000001,0.5,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.5,0.0,0.3333333333333333,0.25,0.0,0.25,0.25,0.0,0.21300056830691183,0.8418948842468938,0.03973292469352013,0.27301902703662356,0.38092927419045985,1.0,0.5067837038421317,0.0,0.5331851780577747,0.7089041095890414,4.988258642245356e-07,0.07041418692299123,0.1329143074140334,0.0,0.981396075222171,0.0,0.7731396788992985,0.0,0.0,0.7649349114097995,0.18668920930628222,0.28891135413256475,0.4172685335969867,0.841500514280702,0.0,0.5204018391995371,0.0,0.14769431286602505,0.7743967632652887,0.0,0.18545856121526658,0.5643479259772323,0.0,1.0,0.5697014107056865,0.0,0.0,0.0,0.18518226603297425,0.5500117325595378,0.0,0.0,0.2652167957363442,0.5945172315804986,1.0,0.37380087092551156,0.13306845953079566,0.9218095368189625,0.8609220701487854,0.0,0.0,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.9014391063229239,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,766.0
7,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.20000000000000004,1.0,1.0,0.42857142857142855,0.0,0.75,1.0,0.8,0.8571428571428571,1.0,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.25,0.5,0.2,0.25,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,1.0,0.0,0.3333333333333333,0.75,1.0,0.5,1.0,1.0,1.0,0.847099274386722,0.19431159908392837,0.3382992089423316,0.7091783705064559,0.1455445658319352,0.31999580334336164,1.0,0.15640897089392736,0.29794520547945236,1.984771605497657e-05,0.19010961059937825,0.3178863795687801,0.45950780580841727,0.0,0.4948628262402668,0.24863390423834064,0.0,0.0,0.0,0.2113922561070705,0.7709520463286423,0.40237331800717485,0.5455709183590126,0.0,0.926621210527747,0.0,1.0,0.6565982008589224,0.3333333333333333,0.5255122706909261,1.0,0.3333333333333333,0.0,0.32766211537605106,0.0,1.0,0.5094495949075164,1.0,0.14046037071111794,0.10993821005596584,0.3649166910105763,0.24442167161475303,0.09948092918933413,0.0,0.5272386474673747,0.12155734518046458,0.8404825651489286,1.0,0.0,0.6666666666666666,0.0,0.5,1.0,1.0,0.0,1.0,0.9645490866445363,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
8,0.25,0.75,0.0,0.1,0.125,0.0,0.4,0.0,0.4,0.14285714285714285,0.0,0.875,0.125,0.0,1.0,0.30000000000000004,1.0,0.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.5,0.0,0.7224348886253309,0.0,0.5723876240513719,0.507412111342135,0.3192141144857302,0.0003328211383420987,0.4112074370126306,0.4477598958528544,0.20349907664178757,0.07876712328767121,0.000270223573373682,0.35781930031026205,0.31287249944621603,0.48950981782636804,0.5,0.0,0.9999999999999999,0.0,0.0,0.4,0.3444356542327705,0.0,0.9669257374402437,0.561851698755602,0.0,0.47959816080046297,0.5337107361243418,0.315096009396736,0.8963076440401353,0.3333333333333333,0.19999999999999998,0.0,0.3333333333333333,0.0,0.6666666666666665,0.0,0.5282220053364081,0.15471820067520903,0.0,1.0,0.0,0.0,0.0,0.12041525664853266,0.0,0.7496019457104139,0.0761236045947091,0.0,0.8277518529372305,1.0,0.0,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.671937426702976,0.0,0.0,0.0,0.5,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,9.61
9,0.25,1.0,0.375,0.2,0.5,1.0,0.8,0.6000000000000001,0.6000000000000001,1.0,0.3571428571428571,0.5,0.25,0.30000000000000004,0.7142857142857142,0.30000000000000004,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.2,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,0.25,0.2,0.5,0.3333333333333333,0.0,0.5,0.3333333333333333,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.5,1.0,0.0,0.0,0.25,0.5,0.0,0.7150663809445299,0.13804870585335238,0.5339864273204904,0.48010064902918753,0.3192139665325039,0.0,0.4108019666309084,0.4973841196828157,0.17825444922977796,0.09246575342465757,0.0001813793958854833,0.28740511338727087,0.31287249944621603,0.48950981782636804,0.5,0.0,0.9999999999999999,0.0,0.0,0.4,0.41217330894758486,0.414550720274143,0.40858477917499975,0.561851698755602,0.0,0.47959816080046297,0.5337107361243418,0.315096009396736,0.8963076440401353,0.3333333333333333,0.19999999999999998,0.0,0.3333333333333333,0.0,0.6666666666666665,0.0,0.5282220053364081,0.3373480226895073,0.0,1.0,0.0,0.0,0.0,0.12041525664853266,0.0,0.7507596230073995,0.1120652435882647,0.18333408440701027,0.9173425343987084,1.0,0.0,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,0.7742252877218787,0.0,0.0,0.0,0.5,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,3.4
